,THROW,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,Average,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,,,,,,
Distance (m),71.53,X,,,,71.53,,,,,,,,,,,,,,,,
CRITICAL PHASE DURATIONS (s),,,,,,,,,,,,,,,,,,,,,,
Impulse Contact,64,57,,,,64,61.67,,,,,,,,,,,,,,,
Impulse Phase,137,136,,,,137,136.67,,,,,,,,,,,,,,,
Delivery Phase,0.14,0.14,,,,0.14,0.14,,,,,,,,,,,,,,,
Release Phase,0.42,0.43,,,,0.42,0.42,,,,,,,,,,,,,,,
ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Attitude (°),,,,,,,,,,,,,,,,,,,,,,
Release (°),33,34,,,,33,33,,,,,,,,,,,,,,,
Attack (°),5,4,,,,5,5,,,,,,,,,,,,,,,
Yaw (°),13,14,,,,13,13,,,,,,,,,,,,,,,
VoR (m/s),,,,,,,,,,,,,,,,,,,,,,
KNEE ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
PKAc (°),170,167,,,,170,169,,,,,,,,,,,,,,,
PKAm (°),131,135,,,,131,132.3333333,,,,,,,,,,,,,,,
Difference,39,32,,,,39,36.66666667,,,,,,,,,,,,,,,
ELBOW ANGULAR RELEASE PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
Elbow Angle (°),2.53,2.56,,,,2.53,2.54,,,,,,,,,,,,,,,
Jav-Forearm Angle (°),1.39,1.42,,,,1.39,1.4,,,,,,,,,,,,,,,
DISTANCES,,,,,,,,,,,,,,,,,,,,,,
ISL (cm),2.16,2.23,,,,2.16,2.183333333,,,,,,,,,,,,,,,
BSL (cm),1.53,1.47,,,,1.53,1.51,,,,,,,,,,,,,,,
ISL:BSL (%),0.41,0.52,,,,0.41,45%,,,,,,,,,,,,,,,
NA Draw Length (m),,,,,,,,,,,,,,,,,,,,,,
Pull Length (m),,,,,,,,,,,,,,,,,,,,,,
Draw distance (m),1.14,1.14,,,,1.14,1.14,,,,,,,,,,,,,,,
Release distance (m),,,,,,,,,,,,,,,,,,,,,,
